ts,open,high,low,close,volume,sma_50
2026-02-02 00:00:00+00:00,6938.5,7017.25,6864.5,7002.5,1491899.0,6890.01580078125
2026-02-03 00:00:00+00:00,7004.25,7027.25,6886.25,6941.75,1942807.0,6895.62080078125
2026-02-04 00:00:00+00:00,6934.0,6965.75,6862.5,6906.25,2145116.0,6902.59580078125
2026-02-05 00:00:00+00:00,6915.5,6935.25,6785.0,6820.75,2107676.0,6906.60580078125
2026-02-06 00:00:00+00:00,6785.5,6965.5,6751.5,6952.75,1796075.0,6911.23580078125
2026-02-09 00:00:00+00:00,6960.25,7000.5,6921.0,6983.25,1198044.0,6915.27080078125
2026-02-10 00:00:00+00:00,6985.0,7006.5,6957.0,6961.5,1187062.0,6917.94080078125
2026-02-11 00:00:00+00:00,6971.5,7011.5,6931.0,6960.5,1498739.0,6919.96080078125
2026-02-12 00:00:00+00:00,6964.5,6992.75,6842.0,6851.0,2078744.0,6920.44580078125
2026-02-13 00:00:00+00:00,6865.5,6897.75,6808.75,6850.5,1803723.0,6920.65080078125
2026-02-17 00:00:00+00:00,6852.5,6885.5,6791.0,6860.5,1837384.0,6920.62080078125
2026-02-18 00:00:00+00:00,6862.75,6925.75,6848.75,6894.25,1346435.0,6921.17080078125
2026-02-19 00:00:00+00:00,6891.75,6912.5,6847.75,6877.0,1286455.0,6921.14580078125
2026-02-20 00:00:00+00:00,6874.25,6931.5,6847.25,6923.25,1816863.0,6922.49580078125
2026-02-23 00:00:00+00:00,6918.0,6930.25,6832.75,6851.5,1462094.0,6922.56080078125
2026-02-24 00:00:00+00:00,6858.25,6912.75,6828.5,6903.75,1335317.0,6922.80080078125
2026-02-25 00:00:00+00:00,6900.25,6983.75,6892.25,6959.75,1062293.0,6923.85080078125
2026-02-26 00:00:00+00:00,6965.0,6970.75,6870.75,6920.0,1548837.0,6925.63580078125
2026-02-27 00:00:00+00:00,6899.0,6915.5,6841.5,6889.0,1638910.0,6926.95580078125
2026-03-02 00:00:00+00:00,6820.0,6911.25,6768.5,6888.25,1844835.0,6928.70080078125
2026-03-03 00:00:00+00:00,6883.5,6886.0,6718.75,6824.75,2259359.0,6930.66580078125
2026-03-04 00:00:00+00:00,6813.25,6894.0,6773.5,6876.0,1546814.0,6932.62080078125
2026-03-05 00:00:00+00:00,6883.25,6900.75,6777.0,6835.25,1948470.0,6933.395
2026-03-06 00:00:00+00:00,6826.0,6854.0,6715.75,6743.75,1940173.0,6929.665
2026-03-09 00:00:00+00:00,6685.5,6818.5,6584.5,6801.0,2265287.0,6926.465
2026-03-10 00:00:00+00:00,6800.75,6852.0,6762.5,6787.25,1893966.0,6922.56
2026-03-11 00:00:00+00:00,6796.75,6822.5,6749.75,6779.5,1603374.0,6918.565
2026-03-12 00:00:00+00:00,6766.0,6769.5,6671.75,6677.5,2042016.0,6913.015
2026-03-13 00:00:00+00:00,6684.25,6737.5,6625.0,6636.0,2407679.0,6906.85
2026-03-16 00:00:00+00:00,6608.5,6734.25,6608.5,6704.75,2025388.0,6903.095
2026-03-17 00:00:00+00:00,6700.0,6757.5,6665.25,6721.75,834934.0,6899.52
